,precision,recall,f1-score,support
0,0.32116788321167883,0.32234432234432236,0.3217550274223035,273.0
1,0.5806451612903226,0.15126050420168066,0.23999999999999996,119.0
2,0.48,0.049586776859504134,0.08988764044943819,242.0
3,0.8695652173913043,0.6896551724137931,0.7692307692307693,58.0
4,0.21056721056721056,0.5934306569343065,0.3108392276811317,1370.0
5,0.3793103448275862,0.2636986301369863,0.3111111111111111,292.0
6,0.0,0.0,0.0,133.0
7,0.0,0.0,0.0,100.0
8,0.25,0.007936507936507936,0.015384615384615385,126.0
9,0.25,0.008695652173913044,0.01680672268907563,345.0
10,0.0,0.0,0.0,70.0
11,0.2550561797752809,0.4027202838557067,0.31231368952075217,1691.0
12,0.3,0.04,0.07058823529411766,75.0
13,0.0,0.0,0.0,136.0
14,0.1111111111111111,0.0064516129032258064,0.012195121951219513,155.0
15,0.23076923076923078,0.02158273381294964,0.03947368421052632,139.0
16,0.0,0.0,0.0,216.0
17,0.18091451292246521,0.09837837837837837,0.12745098039215685,925.0
18,0.7407189157336476,0.9010752688172043,0.8130659767141009,1395.0
19,0.0,0.0,0.0,25.0
20,0.0,0.0,0.0,138.0
21,0.5,0.0425531914893617,0.0784313725490196,47.0
22,0.0,0.0,0.0,136.0
23,0.4365079365079365,0.2029520295202952,0.27707808564231734,271.0
24,0.0,0.0,0.0,158.0
25,0.2857142857142857,0.013245033112582781,0.02531645569620253,151.0
26,0.0,0.0,0.0,33.0
27,0.4117647058823529,0.05185185185185185,0.09210526315789473,270.0
28,0.0,0.0,0.0,131.0
29,0.0,0.0,0.0,119.0
30,0.5,0.007692307692307693,0.015151515151515154,130.0
31,0.16666666666666666,0.016129032258064516,0.02941176470588235,62.0
32,0.37003058103975534,0.5587071240105541,0.445203679369251,1516.0
33,0.0,0.0,0.0,118.0
34,0.08641975308641975,0.1076923076923077,0.0958904109589041,65.0
35,0.4857142857142857,0.039627039627039624,0.07327586206896551,429.0
36,0.46,0.0515695067264574,0.09274193548387097,446.0
37,0.3333333333333333,0.09523809523809523,0.14814814814814814,42.0
38,0.9865326374122044,0.9937041604465503,0.9901054129211667,15407.0
accuracy,0.7030195252957828,0.7030195252957828,0.7030195252957828,0.7030195252957828
macro avg,0.2610899987937713,0.14712251744702426,0.14905032584370398,27554.0
weighted avg,0.6935172307154263,0.7030195252957828,0.6759855636237471,27554.0
Total_training_time(s),408.11731837445404,,,
Input_size,34,,,
