,precision,recall,f1-score,support
0,0.40575916230366493,0.4740061162079511,0.43723554301833567,327.0
1,0.8125,0.08843537414965986,0.15950920245398773,147.0
2,0.4352517985611511,0.3590504451038576,0.3934959349593496,337.0
3,0.9,0.6923076923076923,0.7826086956521738,65.0
4,0.8040601054831327,0.9167233945995008,0.8567035996395059,8814.0
5,0.5735294117647058,0.5016077170418006,0.5351629502572898,311.0
6,0.1568627450980392,0.05970149253731343,0.08648648648648649,134.0
7,0.20238095238095238,0.12408759124087591,0.15384615384615385,137.0
8,0.1935483870967742,0.0410958904109589,0.06779661016949153,146.0
9,0.20958083832335328,0.08928571428571429,0.1252236135957066,392.0
10,0.34782608695652173,0.10126582278481013,0.1568627450980392,79.0
11,0.34464092385420425,0.48674821610601426,0.40354954574265794,1962.0
12,0.4186046511627907,0.1978021978021978,0.26865671641791045,91.0
13,0.18518518518518517,0.04310344827586207,0.06993006993006994,116.0
14,0.20930232558139536,0.058823529411764705,0.09183673469387756,153.0
15,0.5230769230769231,0.19653179190751446,0.28571428571428575,173.0
16,0.23577235772357724,0.10622710622710622,0.14646464646464646,273.0
17,0.2590038314176245,0.29238754325259514,0.2746850873628606,1156.0
18,0.8858757062146893,0.8794167134043747,0.8826343934703068,1783.0
19,0.17391304347826086,0.16,0.16666666666666666,25.0
20,0.3482142857142857,0.2,0.254071661237785,195.0
21,0.3793103448275862,0.1527777777777778,0.21782178217821785,72.0
22,0.0,0.0,0.0,134.0
23,0.36419753086419754,0.3342776203966006,0.3485967503692763,353.0
24,0.24242424242424243,0.049079754601226995,0.0816326530612245,163.0
25,0.27450980392156865,0.0979020979020979,0.1443298969072165,143.0
26,0.1935483870967742,0.15789473684210525,0.17391304347826086,38.0
27,0.4105263157894737,0.12745098039215685,0.1945137157107232,306.0
28,0.26548672566371684,0.17142857142857143,0.20833333333333334,175.0
29,0.997611781876078,0.9960589501573108,0.9968347612813417,30195.0
30,0.08620689655172414,0.03968253968253968,0.05434782608695652,126.0
31,0.4117647058823529,0.07954545454545454,0.13333333333333333,88.0
32,0.45188492063492064,0.5958142576847613,0.5139633286318759,1529.0
33,0.3953488372093023,0.12056737588652482,0.18478260869565216,141.0
34,0.3010752688172043,0.4,0.3435582822085889,70.0
35,0.40863787375415284,0.24550898203592814,0.30673316708229426,501.0
36,0.196875,0.12625250501002003,0.15384615384615383,499.0
37,0.5185185185185185,0.3333333333333333,0.40579710144927533,42.0
38,0.9997696913864579,0.9993669064748202,0.9995682583542008,17375.0
accuracy,0.879460780036646,0.879460780036646,0.879460780036646,0.879460780036646
macro avg,0.3980150145280898,0.28450127285150756,0.30925762407398744,68766.0
weighted avg,0.8700617579422003,0.879460780036646,0.8709006634465071,68766.0
Total_training_time(s),367.71003644308075,,,
Input_size,78,,,
