,precision,recall,f1-score,support
0,0.23333333333333334,0.46494464944649444,0.31072749691738594,271.0
1,0.5714285714285714,0.10526315789473684,0.17777777777777778,114.0
2,0.30303030303030304,0.32388663967611336,0.31311154598825836,247.0
3,0.6,0.7222222222222222,0.6554621848739496,54.0
4,0.2520064205457464,0.5567375886524822,0.34696132596685086,1410.0
5,0.5733333333333334,0.6056338028169014,0.589041095890411,284.0
6,0.0,0.0,0.0,129.0
7,0.0,0.0,0.0,107.0
8,0.0,0.0,0.0,131.0
9,0.19444444444444445,0.020114942528735632,0.03645833333333333,348.0
10,0.1951219512195122,0.12121212121212122,0.14953271028037382,66.0
11,0.4103194103194103,0.19964136282127914,0.26859670285484516,1673.0
12,0.3235294117647059,0.1506849315068493,0.205607476635514,73.0
13,0.1875,0.022388059701492536,0.04,134.0
14,0.16666666666666666,0.01935483870967742,0.034682080924855495,155.0
15,0.36363636363636365,0.208955223880597,0.2654028436018957,134.0
16,0.13402061855670103,0.0593607305936073,0.08227848101265822,219.0
17,0.15759312320916904,0.2330508474576271,0.18803418803418803,944.0
18,0.7163308589607635,0.949402670414617,0.8165608945300695,1423.0
19,0.08695652173913043,0.08333333333333333,0.0851063829787234,24.0
20,0.48148148148148145,0.0948905109489051,0.1585365853658537,137.0
21,0.5,0.024390243902439025,0.046511627906976744,41.0
22,0.0,0.0,0.0,133.0
23,0.463768115942029,0.11347517730496454,0.18233618233618232,282.0
24,0.3125,0.03333333333333333,0.060240963855421686,150.0
25,0.8333333333333334,0.03205128205128205,0.06172839506172839,156.0
26,0.0,0.0,0.0,29.0
27,0.8636363636363636,0.06666666666666667,0.12377850162866451,285.0
28,0.09230769230769231,0.047244094488188976,0.0625,127.0
29,0.3181818181818182,0.059322033898305086,0.1,118.0
30,0.375,0.022388059701492536,0.04225352112676056,134.0
31,0.5,0.03076923076923077,0.057971014492753624,65.0
32,0.3667211774325429,0.5924702774108322,0.453030303030303,1514.0
33,0.3333333333333333,0.034782608695652174,0.06299212598425197,115.0
34,0.19230769230769232,0.07936507936507936,0.11235955056179774,63.0
35,0.32065217391304346,0.14390243902439023,0.19865319865319864,410.0
36,0.1783783783783784,0.16216216216216217,0.1698841698841699,407.0
37,0.38095238095238093,0.25,0.3018867924528302,32.0
38,0.9901569383259912,0.9955017301038063,0.992822140934502,14450.0
accuracy,0.7037385286595457,0.7037385286595457,0.7037385286595457,0.7037385286595457
macro avg,0.3326144156849804,0.19561287314604145,0.19879042550965345,26588.0
weighted avg,0.7050399655197297,0.7037385286595457,0.681938000708064,26588.0
Total_training_time(s),710.9913963372819,,,
Input_size,77,,,
