,precision,recall,f1-score,support
0,0.5889328063241107,0.5498154981549815,0.5687022900763359,271.0
1,0.5357142857142857,0.39473684210526316,0.45454545454545453,114.0
2,0.5812807881773399,0.4777327935222672,0.5244444444444444,247.0
3,0.7090909090909091,0.7222222222222222,0.7155963302752293,54.0
4,0.4073714839961203,0.5957446808510638,0.4838709677419355,1410.0
5,0.6466666666666666,0.6830985915492958,0.6643835616438355,284.0
6,0.29906542056074764,0.24806201550387597,0.27118644067796605,129.0
7,0.3488372093023256,0.2803738317757009,0.31088082901554404,107.0
8,0.4536082474226804,0.33587786259541985,0.38596491228070173,131.0
9,0.34726688102893893,0.3103448275862069,0.3277693474962064,348.0
10,0.25316455696202533,0.30303030303030304,0.2758620689655173,66.0
11,0.5584247901872176,0.5170352659892409,0.5369335816263191,1673.0
12,0.38636363636363635,0.2328767123287671,0.2905982905982906,73.0
13,0.3229166666666667,0.23134328358208955,0.2695652173913044,134.0
14,0.3546099290780142,0.3225806451612903,0.33783783783783783,155.0
15,0.3851851851851852,0.3880597014925373,0.38661710037174724,134.0
16,0.39864864864864863,0.2694063926940639,0.3215258855585831,219.0
17,0.40181268882175225,0.4226694915254237,0.41197728446050585,944.0
18,0.9052488070892979,0.9332396345748419,0.9190311418685122,1423.0
19,0.0,0.0,0.0,24.0
20,0.39344262295081966,0.35036496350364965,0.3706563706563707,137.0
21,0.19298245614035087,0.2682926829268293,0.22448979591836735,41.0
22,0.3088235294117647,0.15789473684210525,0.208955223880597,133.0
23,0.5074074074074074,0.4858156028368794,0.49637681159420294,282.0
24,0.4019607843137255,0.2733333333333333,0.3253968253968254,150.0
25,0.2974683544303797,0.30128205128205127,0.29936305732484075,156.0
26,0.12903225806451613,0.13793103448275862,0.13333333333333333,29.0
27,0.3686635944700461,0.2807017543859649,0.3187250996015937,285.0
28,0.21428571428571427,0.2125984251968504,0.21343873517786563,127.0
29,0.25925925925925924,0.23728813559322035,0.24778761061946902,118.0
30,0.358695652173913,0.2462686567164179,0.29203539823008845,134.0
31,0.3181818181818182,0.2153846153846154,0.2568807339449541,65.0
32,0.6562707365627074,0.6532364597093792,0.654750082754055,1514.0
33,0.3277310924369748,0.3391304347826087,0.3333333333333333,115.0
34,0.23232323232323232,0.36507936507936506,0.2839506172839506,63.0
35,0.5521472392638037,0.43902439024390244,0.4891304347826087,410.0
36,0.30180180180180183,0.32923832923832924,0.3149236192714454,407.0
37,0.42857142857142855,0.375,0.39999999999999997,32.0
38,0.9996539552910236,0.9995847750865052,0.9996193639918337,14450.0
accuracy,0.7797502632766662,0.7797502632766662,0.7797502632766662,0.7797502632766662
macro avg,0.4136644242212117,0.3816846241761442,0.3928317803582566,26588.0
weighted avg,0.7801430421626541,0.7797502632766662,0.7780469080609325,26588.0
Total_training_time(s),437.8534124287544,,,
Input_size,77,,,
