,precision,recall,f1-score,support
0,0.7368421052631579,0.043209876543209874,0.0816326530612245,324.0
1,0.2,0.05673758865248227,0.08839779005524862,141.0
2,0.2923076923076923,0.2367601246105919,0.26161790017211706,321.0
3,0.7777777777777778,0.603448275862069,0.6796116504854369,58.0
4,0.6620975454255659,0.9423774954627949,0.7777569743493727,8816.0
5,0.5683453237410072,0.5214521452145214,0.5438898450946644,303.0
6,0.0,0.0,0.0,125.0
7,0.0,0.0,0.0,158.0
8,0.0,0.0,0.0,165.0
9,0.0,0.0,0.0,421.0
10,0.0,0.0,0.0,73.0
11,0.22876151484135107,0.2291132752434649,0.2289372599231754,1951.0
12,0.16666666666666666,0.02531645569620253,0.04395604395604395,79.0
13,0.0,0.0,0.0,114.0
14,0.0,0.0,0.0,169.0
15,0.5,0.019867549668874173,0.038216560509554146,151.0
16,0.0,0.0,0.0,279.0
17,0.1983695652173913,0.06303972366148532,0.09567496723460026,1158.0
18,0.6738035264483627,0.890677025527192,0.767208413001912,1802.0
19,0.0,0.0,0.0,27.0
20,0.0,0.0,0.0,196.0
21,0.0,0.0,0.0,66.0
22,0.0,0.0,0.0,160.0
23,0.25384615384615383,0.09565217391304348,0.13894736842105262,345.0
24,0.0,0.0,0.0,164.0
25,1.0,0.006493506493506494,0.012903225806451613,154.0
26,0.0,0.0,0.0,41.0
27,0.0,0.0,0.0,312.0
28,0.0,0.0,0.0,171.0
29,0.9953956739209646,0.9956925115970842,0.9955440706322781,30180.0
30,0.6666666666666666,0.03007518796992481,0.05755395683453238,133.0
31,0.0,0.0,0.0,73.0
32,0.3176470588235294,0.5264150943396226,0.39621301775147927,1590.0
33,0.0,0.0,0.0,152.0
34,0.10526315789473684,0.02666666666666667,0.04255319148936171,75.0
35,0.4375,0.02666666666666667,0.05026929982046679,525.0
36,0.18867924528301888,0.020366598778004074,0.03676470588235294,491.0
37,0.0,0.0,0.0,48.0
38,0.9825486193669949,0.9937159709618875,0.9881007432805856,44080.0
accuracy,0.894257827619755,0.894257827619755,0.894257827619755,0.894257827619755
macro avg,0.25519277675618046,0.16291651060331522,0.16219870866056182,95591.0
weighted avg,0.8673550475410572,0.894257827619755,0.8731910688696303,95591.0
Total_training_time(s),1174.3459995393641,,,
Input_size,26,,,
