,precision,recall,f1-score,support
0,0.6224066390041494,0.46439628482972134,0.5319148936170213,323.0
1,0.3795620437956204,0.36879432624113473,0.37410071942446044,141.0
2,0.5068027210884354,0.46417445482866043,0.4845528455284553,321.0
3,0.6190476190476191,0.6724137931034483,0.6446280991735537,58.0
4,0.8321219462951747,0.9348984915504139,0.8805212839822677,8817.0
5,0.72265625,0.6105610561056105,0.6618962432915921,303.0
6,0.2803738317757009,0.24,0.2586206896551724,125.0
7,0.46875,0.28662420382165604,0.3557312252964427,157.0
8,0.3780487804878049,0.18787878787878787,0.2510121457489879,165.0
9,0.3954983922829582,0.2921615201900237,0.3360655737704918,421.0
10,0.18072289156626506,0.2054794520547945,0.19230769230769232,73.0
11,0.49783132530120483,0.5289298515104967,0.512909632571996,1953.0
12,0.35064935064935066,0.34177215189873417,0.34615384615384615,79.0
13,0.5396825396825397,0.2982456140350877,0.384180790960452,114.0
14,0.3492063492063492,0.2603550295857988,0.2983050847457627,169.0
15,0.3790322580645161,0.31125827814569534,0.34181818181818185,151.0
16,0.391304347826087,0.25806451612903225,0.31101511879049676,279.0
17,0.4131004366812227,0.4081104400345125,0.41059027777777773,1159.0
18,0.87851929092805,0.935072142064373,0.9059139784946236,1802.0
19,0.15384615384615385,0.14814814814814814,0.1509433962264151,27.0
20,0.38461538461538464,0.28061224489795916,0.32448377581120946,196.0
21,0.1864406779661017,0.16666666666666666,0.176,66.0
22,0.3880597014925373,0.1625,0.2290748898678414,160.0
23,0.47115384615384615,0.42485549132947975,0.44680851063829785,346.0
24,0.392,0.3006134969325153,0.3402777777777778,163.0
25,0.3786407766990291,0.2532467532467532,0.3035019455252918,154.0
26,0.13636363636363635,0.14634146341463414,0.14117647058823526,41.0
27,0.3545816733067729,0.28525641025641024,0.31616341030195383,312.0
28,0.3458646616541353,0.26900584795321636,0.3026315789473684,171.0
29,0.9981358189081225,0.9961792750589721,0.9971565872395617,30099.0
30,0.38461538461538464,0.26515151515151514,0.31390134529147984,132.0
31,0.4523809523809524,0.2289156626506024,0.304,83.0
32,0.612580834803057,0.6553459119496855,0.6332421756305074,1590.0
33,0.4939759036144578,0.27702702702702703,0.354978354978355,148.0
34,0.25396825396825395,0.1951219512195122,0.2206896551724138,82.0
35,0.5038961038961038,0.39835728952772076,0.44495412844036697,487.0
36,0.34,0.27755102040816326,0.3056179775280899,490.0
37,0.35714285714285715,0.30612244897959184,0.32967032967032966,49.0
38,0.9998190168088139,1.0,0.999909500214937,44195.0
accuracy,0.9270405121285342,0.9270405121285342,0.9270405121285342,0.9270405121285342
macro avg,0.4557281705620167,0.3873386927904245,0.4132671828964028,95601.0
weighted avg,0.921942218541683,0.9270405121285342,0.9235969969635973,95601.0
Total_training_time(s),1513.6187970489264,,,
Input_size,86,,,
