,precision,recall,f1-score,support
0,0.2229299363057325,0.13059701492537312,0.16470588235294117,268.0
1,0.6153846153846154,0.13008130081300814,0.21476510067114096,123.0
2,0.25,0.2159090909090909,0.23170731707317072,264.0
3,0.8372093023255814,0.6792452830188679,0.7499999999999999,53.0
4,0.20901155933003066,0.6462436177972283,0.3158645276292335,1371.0
5,0.4788273615635179,0.5444444444444444,0.509532062391681,270.0
6,0.0,0.0,0.0,119.0
7,0.0,0.0,0.0,118.0
8,0.0,0.0,0.0,133.0
9,0.0,0.0,0.0,332.0
10,0.0,0.0,0.0,62.0
11,0.2587476979742173,0.33978234582829503,0.2937794040773654,1654.0
12,0.15,0.045454545454545456,0.06976744186046512,66.0
13,0.0,0.0,0.0,109.0
14,0.0,0.0,0.0,132.0
15,0.5,0.008130081300813009,0.016,123.0
16,1.0,0.004830917874396135,0.009615384615384614,207.0
17,0.2894736842105263,0.04675876726886291,0.08051235132662397,941.0
18,0.6398989898989899,0.8816979819067502,0.7415861867134913,1437.0
19,0.0,0.0,0.0,18.0
20,0.0,0.0,0.0,162.0
21,0.0,0.0,0.0,53.0
22,0.0,0.0,0.0,146.0
23,0.4268292682926829,0.12411347517730496,0.19230769230769232,282.0
24,0.0,0.0,0.0,146.0
25,0.3333333333333333,0.006493506493506494,0.012738853503184714,154.0
26,0.25,0.02564102564102564,0.04651162790697674,39.0
27,0.9230769230769231,0.0410958904109589,0.07868852459016394,292.0
28,0.0,0.0,0.0,130.0
29,0.375,0.022556390977443608,0.0425531914893617,133.0
30,0.1111111111111111,0.008403361344537815,0.015625,119.0
31,0.0,0.0,0.0,71.0
32,0.3921191734742912,0.5354330708661418,0.45270457697642164,1524.0
33,0.0,0.0,0.0,122.0
34,0.21739130434782608,0.078125,0.1149425287356322,64.0
35,0.4158415841584158,0.10120481927710843,0.16279069767441862,415.0
36,0.3619047619047619,0.0871559633027523,0.1404805914972274,436.0
37,0.0,0.0,0.0,48.0
38,0.9871053909664886,0.9958352727896322,0.9914511152575032,40819.0
accuracy,0.8433197998300443,0.8433197998300443,0.8433197998300443,0.8433197998300443
macro avg,0.2626973332733089,0.14613418379030993,0.1448366681705149,52955.0
weighted avg,0.8367208641104407,0.8433197998300443,0.8264116501915882,52955.0
Total_training_time(s),691.3403990708757,,,
Input_size,26,,,
