,precision,recall,f1-score,support
0,0.6714975845410628,0.5186567164179104,0.5852631578947368,268.0
1,0.5111111111111111,0.37398373983739835,0.43192488262910794,123.0
2,0.5690376569037657,0.5151515151515151,0.540755467196819,264.0
3,0.59375,0.7169811320754716,0.6495726495726496,53.0
4,0.392,0.6075857038657914,0.4765446224256293,1371.0
5,0.70042194092827,0.6148148148148148,0.6548323471400395,270.0
6,0.37142857142857144,0.2184873949579832,0.2751322751322751,119.0
7,0.410958904109589,0.2542372881355932,0.31413612565445026,118.0
8,0.34615384615384615,0.20300751879699247,0.2559241706161137,133.0
9,0.35023041474654376,0.2289156626506024,0.27686703096539156,332.0
10,0.39622641509433965,0.3387096774193548,0.36521739130434777,62.0
11,0.5508729680915111,0.5532043530834341,0.5520361990950227,1654.0
12,0.4375,0.42424242424242425,0.43076923076923074,66.0
13,0.45901639344262296,0.25688073394495414,0.32941176470588235,109.0
14,0.3116883116883117,0.18181818181818182,0.22966507177033493,132.0
15,0.5714285714285714,0.35772357723577236,0.44,123.0
16,0.3333333333333333,0.24154589371980675,0.2801120448179272,207.0
17,0.35921325051759834,0.3687566418703507,0.3639223911903514,941.0
18,0.9051194539249147,0.9227557411273486,0.9138525155065471,1437.0
19,0.05,0.05555555555555555,0.052631578947368425,18.0
20,0.3142857142857143,0.2037037037037037,0.24719101123595505,162.0
21,0.2894736842105263,0.20754716981132076,0.2417582417582418,53.0
22,0.4084507042253521,0.19863013698630136,0.2672811059907834,146.0
23,0.5551020408163265,0.48226950354609927,0.5161290322580644,282.0
24,0.38461538461538464,0.273972602739726,0.32000000000000006,146.0
25,0.33043478260869563,0.24675324675324675,0.2825278810408922,154.0
26,0.21428571428571427,0.15384615384615385,0.1791044776119403,39.0
27,0.34285714285714286,0.2054794520547945,0.25695931477516054,292.0
28,0.26229508196721313,0.24615384615384617,0.25396825396825395,130.0
29,0.38461538461538464,0.18796992481203006,0.25252525252525254,133.0
30,0.32142857142857145,0.226890756302521,0.2660098522167488,119.0
31,0.4222222222222222,0.2676056338028169,0.32758620689655177,71.0
32,0.5648099947943779,0.7119422572178478,0.6298984034833092,1524.0
33,0.33620689655172414,0.319672131147541,0.3277310924369748,122.0
34,0.29069767441860467,0.390625,0.3333333333333333,64.0
35,0.504,0.45542168674698796,0.47848101265822784,415.0
36,0.28992628992628994,0.2706422018348624,0.27995255041518385,436.0
37,0.4473684210526316,0.3541666666666667,0.3953488372093023,48.0
38,0.999706033659146,0.999755016046449,0.9997305242528174,40819.0
accuracy,0.8882825040128411,0.8882825040128411,0.8882825040128411,0.8882825040128411
macro avg,0.4347120632303842,0.36810413735626074,0.3916432641384929,52955.0
weighted avg,0.8871032952188661,0.8882825040128411,0.8858885594376318,52955.0
Total_training_time(s),803.5546585004777,,,
Input_size,33,,,
