,precision,recall,f1-score,support
0,0.0,0.0,0.0,290.0
1,0.0,0.0,0.0,125.0
2,0.2,0.0035842293906810036,0.00704225352112676,279.0
3,0.8620689655172413,0.43859649122807015,0.5813953488372092,57.0
4,0.19762722447705278,0.4518201284796574,0.27497827975673333,1401.0
5,0.2737226277372263,0.2640845070422535,0.2688172043010753,284.0
6,0.0,0.0,0.0,122.0
7,0.0,0.0,0.0,132.0
8,0.0,0.0,0.0,125.0
9,0.07692307692307693,0.0030581039755351682,0.00588235294117647,327.0
10,0.0,0.0,0.0,70.0
11,0.23232740801984292,0.3301997649823737,0.27274933268624124,1702.0
12,0.0,0.0,0.0,70.0
13,0.0,0.0,0.0,113.0
14,0.3333333333333333,0.0072992700729927005,0.014285714285714285,137.0
15,0.0,0.0,0.0,133.0
16,0.0,0.0,0.0,198.0
17,0.17708333333333334,0.01748971193415638,0.031835205992509365,972.0
18,0.5667131566713157,0.8236486486486486,0.6714403745524649,1480.0
19,0.0,0.0,0.0,26.0
20,0.0,0.0,0.0,161.0
21,0.0,0.0,0.0,59.0
22,0.0,0.0,0.0,143.0
23,0.391304347826087,0.03214285714285714,0.059405940594059396,280.0
24,0.0,0.0,0.0,155.0
25,0.0,0.0,0.0,151.0
26,0.0,0.0,0.0,34.0
27,0.0,0.0,0.0,261.0
28,0.0,0.0,0.0,143.0
29,0.3333333333333333,0.01652892561983471,0.031496062992125984,121.0
30,0.0,0.0,0.0,115.0
31,0.0,0.0,0.0,76.0
32,0.2923728813559322,0.6319404693760733,0.3997827267789245,1747.0
33,0.0,0.0,0.0,124.0
34,0.0,0.0,0.0,66.0
35,0.1,0.004761904761904762,0.009090909090909092,420.0
36,0.09090909090909091,0.0022988505747126436,0.004484304932735426,435.0
37,0.0,0.0,0.0,44.0
38,0.9831073094199316,0.9940024772376627,0.9885248735791157,46019.0
accuracy,0.8429612437496801,0.8429612437496801,0.8429612437496801,0.8429612437496801
macro avg,0.13104682279119995,0.1031142651401901,0.09285156114979798,58597.0
weighted avg,0.8177976318436573,0.8429612437496801,0.8226535268531234,58597.0
Total_training_time(s),416.57263675669674,,,
Input_size,19,,,
