,precision,recall,f1-score,support
0,0.5806451612903226,0.4982698961937716,0.5363128491620112,289.0
1,0.5138888888888888,0.296,0.3756345177664974,125.0
2,0.5802469135802469,0.33691756272401435,0.4263038548752835,279.0
3,0.7307692307692307,0.6666666666666666,0.6972477064220183,57.0
4,0.3178122690317812,0.6142857142857143,0.4188991719434973,1400.0
5,0.5762081784386617,0.545774647887324,0.5605786618444847,284.0
6,0.22413793103448276,0.10655737704918032,0.14444444444444443,122.0
7,0.2597402597402597,0.15037593984962405,0.19047619047619047,133.0
8,0.32098765432098764,0.208,0.2524271844660194,125.0
9,0.21182266009852216,0.13149847094801223,0.16226415094339622,327.0
10,0.125,0.08571428571428572,0.1016949152542373,70.0
11,0.44994994994994997,0.5278919553728714,0.48581464469062413,1703.0
12,0.3673469387755102,0.2571428571428571,0.3025210084033613,70.0
13,0.34375,0.19469026548672566,0.2485875706214689,113.0
14,0.18681318681318682,0.12408759124087591,0.14912280701754385,137.0
15,0.5180722891566265,0.3233082706766917,0.3981481481481482,133.0
16,0.2598870056497175,0.23232323232323232,0.24533333333333332,198.0
17,0.33225283630470015,0.2109053497942387,0.2580239144115796,972.0
18,0.8683680322364002,0.8730587440918298,0.8707070707070708,1481.0
19,0.08333333333333333,0.038461538461538464,0.05263157894736842,26.0
20,0.46875,0.09316770186335403,0.15544041450777202,161.0
21,0.15217391304347827,0.11864406779661017,0.13333333333333333,59.0
22,0.23529411764705882,0.08391608391608392,0.12371134020618557,143.0
23,0.49765258215962443,0.37857142857142856,0.4300202839756592,280.0
24,0.32786885245901637,0.12903225806451613,0.18518518518518517,155.0
25,0.37037037037037035,0.13245033112582782,0.1951219512195122,151.0
26,0.2727272727272727,0.17647058823529413,0.21428571428571427,34.0
27,0.35766423357664234,0.18773946360153257,0.24623115577889448,261.0
28,0.25,0.13286713286713286,0.1735159817351598,143.0
29,0.2619047619047619,0.18181818181818182,0.21463414634146344,121.0
30,0.2077922077922078,0.1391304347826087,0.16666666666666666,115.0
31,0.2222222222222222,0.05263157894736842,0.0851063829787234,76.0
32,0.5070656691604323,0.6975414522584333,0.5872442839951866,1749.0
33,0.4117647058823529,0.22580645161290322,0.29166666666666663,124.0
34,0.30985915492957744,0.3333333333333333,0.32116788321167883,66.0
35,0.4535211267605634,0.38333333333333336,0.4154838709677419,420.0
36,0.25806451612903225,0.12873563218390804,0.17177914110429449,435.0
37,0.22580645161290322,0.1590909090909091,0.18666666666666665,44.0
38,0.9994786009124484,0.999608899704502,0.999543746062094,46024.0
accuracy,0.8834741063049227,0.8834741063049227,0.8834741063049227,0.8834741063049227
macro avg,0.3754106020180199,0.2860466571542747,0.31215329586582513,58605.0
weighted avg,0.8814643146303505,0.8834741063049227,0.8788201964356779,58605.0
Total_training_time(s),302.9706430067308,,,
Input_size,24,,,
