,precision,recall,f1-score,support
0,0.2512315270935961,0.18681318681318682,0.21428571428571427,273.0
1,0.6666666666666666,0.11764705882352941,0.2,119.0
2,0.345679012345679,0.11570247933884298,0.17337461300309598,242.0
3,0.8444444444444444,0.6551724137931034,0.7378640776699029,58.0
4,0.21579651941097724,0.5883211678832116,0.3157688540646425,1370.0
5,0.576271186440678,0.5821917808219178,0.5792163543441226,292.0
6,1.0,0.007518796992481203,0.014925373134328356,133.0
7,0.0,0.0,0.0,100.0
8,0.0,0.0,0.0,126.0
9,0.0,0.0,0.0,345.0
10,0.0,0.0,0.0,70.0
11,0.23123123123123124,0.3642814902424601,0.2828932261768083,1691.0
12,0.5,0.02666666666666667,0.05063291139240507,75.0
13,0.0,0.0,0.0,136.0
14,0.0,0.0,0.0,155.0
15,0.3333333333333333,0.014388489208633094,0.02758620689655172,139.0
16,0.2,0.004629629629629629,0.00904977375565611,216.0
17,0.2139917695473251,0.05621621621621622,0.08904109589041097,925.0
18,0.6645735217163788,0.910394265232975,0.7683000604960679,1395.0
19,0.0,0.0,0.0,25.0
20,0.2,0.007246376811594203,0.013986013986013986,138.0
21,0.0,0.0,0.0,47.0
22,0.0,0.0,0.0,136.0
23,0.5921052631578947,0.16605166051660517,0.25936599423631124,271.0
24,0.0,0.0,0.0,158.0
25,0.5,0.019867549668874173,0.038216560509554146,151.0
26,0.0,0.0,0.0,33.0
27,0.25,0.06296296296296296,0.10059171597633136,270.0
28,0.0,0.0,0.0,131.0
29,0.3076923076923077,0.06722689075630252,0.1103448275862069,119.0
30,1.0,0.007692307692307693,0.015267175572519085,130.0
31,0.0,0.0,0.0,62.0
32,0.35966319165998395,0.591688654353562,0.44738154613466335,1516.0
33,0.0,0.0,0.0,118.0
34,0.0,0.0,0.0,65.0
35,0.43661971830985913,0.07226107226107226,0.124,429.0
36,0.24390243902439024,0.02242152466367713,0.04106776180698151,446.0
37,0.25,0.047619047619047616,0.08,42.0
38,0.9795103092783505,0.9866943597066269,0.9830892100753387,15407.0
accuracy,0.6992814110473978,0.6992814110473978,0.6992814110473978,0.6992814110473978
macro avg,0.28622339593213064,0.1456840012480894,0.1455448478716315,27554.0
weighted avg,0.6881528214959377,0.6992814110473978,0.668966236835961,27554.0
Total_training_time(s),204.46204205183312,,,
Input_size,27,,,
