,precision,recall,f1-score,support
0,0.5542168674698795,0.5092250922509225,0.5307692307692308,271.0
1,0.4375,0.3684210526315789,0.39999999999999997,114.0
2,0.5185185185185185,0.4534412955465587,0.4838012958963283,247.0
3,0.6666666666666666,0.7037037037037037,0.6846846846846847,54.0
4,0.3706936150666054,0.5723404255319149,0.44995818232506274,1410.0
5,0.7309236947791165,0.6408450704225352,0.6829268292682927,284.0
6,0.2235294117647059,0.14728682170542637,0.17757009345794394,129.0
7,0.32653061224489793,0.14953271028037382,0.20512820512820515,107.0
8,0.36046511627906974,0.2366412213740458,0.2857142857142857,131.0
9,0.3427230046948357,0.20977011494252873,0.26024955436720143,348.0
10,0.23529411764705882,0.24242424242424243,0.23880597014925375,66.0
11,0.5097701149425288,0.5301852958756724,0.519777322004102,1673.0
12,0.38636363636363635,0.2328767123287671,0.2905982905982906,73.0
13,0.36363636363636365,0.26865671641791045,0.30901287553648066,134.0
14,0.3162393162393162,0.23870967741935484,0.27205882352941174,155.0
15,0.4752475247524752,0.3582089552238806,0.4085106382978724,134.0
16,0.2865853658536585,0.2146118721461187,0.2454308093994778,219.0
17,0.37405405405405406,0.3665254237288136,0.3702514713750669,944.0
18,0.9101045296167247,0.9177793394237527,0.9139258222533241,1423.0
19,0.18518518518518517,0.20833333333333334,0.19607843137254902,24.0
20,0.2518518518518518,0.24817518248175183,0.25,137.0
21,0.28,0.34146341463414637,0.3076923076923077,41.0
22,0.26373626373626374,0.18045112781954886,0.21428571428571427,133.0
23,0.5913978494623656,0.3900709219858156,0.4700854700854701,282.0
24,0.30344827586206896,0.29333333333333333,0.29830508474576267,150.0
25,0.3626373626373626,0.21153846153846154,0.26720647773279355,156.0
26,0.18181818181818182,0.13793103448275862,0.1568627450980392,29.0
27,0.4329896907216495,0.29473684210526313,0.3507306889352818,285.0
28,0.21238938053097345,0.1889763779527559,0.2,127.0
29,0.19298245614035087,0.1864406779661017,0.18965517241379312,118.0
30,0.42028985507246375,0.21641791044776118,0.28571428571428575,134.0
31,0.3617021276595745,0.26153846153846155,0.3035714285714286,65.0
32,0.54579945799458,0.6651254953764861,0.5995832092884789,1514.0
33,0.4230769230769231,0.28695652173913044,0.3419689119170985,115.0
34,0.2988505747126437,0.4126984126984127,0.34666666666666673,63.0
35,0.49074074074074076,0.3878048780487805,0.43324250681198906,410.0
36,0.2730263157894737,0.20393120393120392,0.23347398030942337,407.0
37,0.34285714285714286,0.375,0.3582089552238806,32.0
38,0.9975105456054215,0.9982698961937716,0.9978900764414929,14450.0
accuracy,0.7667744847299534,0.7667744847299534,0.7667744847299534,0.7667744847299534
macro avg,0.4051628900524444,0.3551379289996251,0.3725742691810506,26588.0
weighted avg,0.7649083519645397,0.7667744847299534,0.7626654458843574,26588.0
Total_training_time(s),162.69390195963206,,,
Input_size,22,,,
