,precision,recall,f1-score,support
0,0.4770992366412214,0.382262996941896,0.4244482173174872,327.0
1,0.5064935064935064,0.2653061224489796,0.34821428571428575,147.0
2,0.44106463878326996,0.34626865671641793,0.3879598662207358,335.0
3,0.851063829787234,0.6060606060606061,0.7079646017699115,66.0
4,0.7715698162484843,0.9384004537719796,0.8468468468468469,8815.0
5,0.6527777777777778,0.45483870967741935,0.5361216730038023,310.0
6,0.2261904761904762,0.14074074074074075,0.1735159817351598,135.0
7,0.2159090909090909,0.13970588235294118,0.16964285714285718,136.0
8,0.2391304347826087,0.07586206896551724,0.11518324607329843,145.0
9,0.236,0.15051020408163265,0.18380062305295952,392.0
10,0.1724137931034483,0.19230769230769232,0.18181818181818185,78.0
11,0.44804865686771417,0.45403184386235235,0.45102040816326533,1947.0
12,0.5483870967741935,0.19101123595505617,0.28333333333333327,89.0
13,0.43283582089552236,0.24369747899159663,0.3118279569892473,119.0
14,0.35,0.13291139240506328,0.19266055045871558,158.0
15,0.4177215189873418,0.20245398773006135,0.27272727272727276,163.0
16,0.21568627450980393,0.11827956989247312,0.1527777777777778,279.0
17,0.2842438638163104,0.31190269331016507,0.29743164871582434,1151.0
18,0.8965116279069767,0.8959907030796049,0.896251089799477,1721.0
19,0.17142857142857143,0.24,0.19999999999999998,25.0
20,0.41379310344827586,0.26519337016574585,0.32323232323232326,181.0
21,0.2926829268292683,0.1518987341772152,0.2,79.0
22,0.19444444444444445,0.1037037037037037,0.13526570048309178,135.0
23,0.4013377926421405,0.3305785123966942,0.3625377643504532,363.0
24,0.3125,0.21875,0.25735294117647056,160.0
25,0.3333333333333333,0.11188811188811189,0.16753926701570682,143.0
26,0.023255813953488372,0.02702702702702703,0.025,37.0
27,0.3858267716535433,0.1695501730103806,0.23557692307692307,289.0
28,0.31,0.17222222222222222,0.22142857142857142,180.0
29,0.9918489918489919,0.9968822553897181,0.9943592542967264,30150.0
30,0.28,0.11764705882352941,0.16568047337278105,119.0
31,0.21568627450980393,0.1506849315068493,0.1774193548387097,73.0
32,0.5578758949880668,0.6099151989562949,0.5827360548457463,1533.0
33,0.359375,0.1503267973856209,0.21198156682027647,153.0
34,0.25,0.08536585365853659,0.1272727272727273,82.0
35,0.5,0.31007751937984496,0.3827751196172249,516.0
36,0.29343629343629346,0.1464354527938343,0.19537275064267354,519.0
37,0.2777777777777778,0.32608695652173914,0.3,46.0
38,0.9978116901813994,0.9984441627290538,0.9981278262622773,17354.0
accuracy,0.8846321922796795,0.8846321922796795,0.8846321922796795,0.8846321922796795
macro avg,0.40886056771667645,0.30577489951354664,0.3383898727536698,68650.0
weighted avg,0.8714953078558934,0.8846321922796795,0.87510878949088,68650.0
Total_training_time(s),372.94529372814577,,,
Input_size,22,,,
