,precision,recall,f1-score,support
0,0.4367469879518072,0.4434250764525994,0.44006069802731407,327.0
1,0.4105263157894737,0.2653061224489796,0.32231404958677684,147.0
2,0.372972972972973,0.41194029850746267,0.39148936170212767,335.0
3,0.8666666666666667,0.5909090909090909,0.7027027027027029,66.0
4,0.7418720971775634,0.9422575155984118,0.8301434211183848,8815.0
5,0.6533864541832669,0.5290322580645161,0.5846702317290552,310.0
6,0.2777777777777778,0.07407407407407407,0.11695906432748537,135.0
7,0.09375,0.022058823529411766,0.03571428571428571,136.0
8,0.16666666666666666,0.013793103448275862,0.025477707006369428,145.0
9,0.3333333333333333,0.05612244897959184,0.09606986899563319,392.0
10,0.2,0.14102564102564102,0.16541353383458646,78.0
11,0.388,0.44838212634822805,0.416011436740529,1947.0
12,0.35185185185185186,0.21348314606741572,0.26573426573426573,89.0
13,0.21428571428571427,0.07563025210084033,0.11180124223602485,119.0
14,0.20408163265306123,0.06329113924050633,0.0966183574879227,158.0
15,0.4222222222222222,0.1165644171779141,0.18269230769230765,163.0
16,0.32978723404255317,0.1111111111111111,0.16621983914209115,279.0
17,0.4242902208201893,0.23370981754995657,0.3014005602240896,1151.0
18,0.9126794258373205,0.8866937826844857,0.8994989684644856,1721.0
19,0.1111111111111111,0.04,0.058823529411764705,25.0
20,0.5277777777777778,0.10497237569060773,0.17511520737327188,181.0
21,0.6428571428571429,0.11392405063291139,0.1935483870967742,79.0
22,0.03333333333333333,0.007407407407407408,0.012121212121212121,135.0
23,0.4583333333333333,0.21212121212121213,0.2900188323917138,363.0
24,0.2765957446808511,0.1625,0.2047244094488189,160.0
25,0.37142857142857144,0.09090909090909091,0.14606741573033707,143.0
26,0.1935483870967742,0.16216216216216217,0.1764705882352941,37.0
27,0.42857142857142855,0.1245674740484429,0.19302949061662197,289.0
28,0.2631578947368421,0.05555555555555555,0.09174311926605505,180.0
29,0.9939798888594866,0.9966832504145937,0.9953297340266967,30150.0
30,0.14754098360655737,0.07563025210084033,0.09999999999999999,119.0
31,0.29411764705882354,0.0684931506849315,0.11111111111111112,73.0
32,0.4256670902160102,0.6555772994129159,0.5161787365177196,1533.0
33,0.4864864864864865,0.11764705882352941,0.18947368421052632,153.0
34,0.2878787878787879,0.23170731707317074,0.25675675675675674,82.0
35,0.5473684210526316,0.20155038759689922,0.29461756373937675,516.0
36,0.2179176755447942,0.17341040462427745,0.19313304721030045,519.0
37,0.24390243902439024,0.21739130434782608,0.22988505747126436,46.0
38,0.9991936877267753,0.9997118819868618,0.9994527176887403,17354.0
accuracy,0.8811653313911143,0.8811653313911143,0.8811653313911143,0.8811653313911143
macro avg,0.40388885657985507,0.2679674841259423,0.2968869872536101,68650.0
weighted avg,0.8669067996074689,0.8811653313911143,0.8673226033403048,68650.0
Total_training_time(s),334.9373645107844,,,
Input_size,88,,,
