,precision,recall,f1-score,support
0,0.4459016393442623,0.41975308641975306,0.4324324324324324,324.0
1,0.46153846153846156,0.3404255319148936,0.3918367346938776,141.0
2,0.49433962264150944,0.40809968847352024,0.44709897610921495,321.0
3,0.8085106382978723,0.6551724137931034,0.7238095238095238,58.0
4,0.7620828013861025,0.9479355716878403,0.8449095136993227,8816.0
5,0.6423357664233577,0.5808580858085809,0.6100519930675911,303.0
6,0.20454545454545456,0.072,0.10650887573964497,125.0
7,0.2391304347826087,0.13924050632911392,0.176,158.0
8,0.3582089552238806,0.14545454545454545,0.20689655172413793,165.0
9,0.28350515463917525,0.13064133016627077,0.17886178861788618,421.0
10,0.2073170731707317,0.2328767123287671,0.2193548387096774,73.0
11,0.42843646669815777,0.4648898001025115,0.44591937069813176,1951.0
12,0.4791666666666667,0.2911392405063291,0.3622047244094488,79.0
13,0.3877551020408163,0.16666666666666666,0.2331288343558282,114.0
14,0.26666666666666666,0.09467455621301775,0.13973799126637554,169.0
15,0.49295774647887325,0.23178807947019867,0.3153153153153153,151.0
16,0.2651162790697674,0.20430107526881722,0.23076923076923075,279.0
17,0.3806818181818182,0.231433506044905,0.28786251342642316,1158.0
18,0.8779714738510301,0.9223085460599334,0.8995940460081192,1802.0
19,0.15384615384615385,0.07407407407407407,0.1,27.0
20,0.4639175257731959,0.22959183673469388,0.30716723549488056,196.0
21,0.15789473684210525,0.09090909090909091,0.11538461538461539,66.0
22,0.29411764705882354,0.09375,0.14218009478672985,160.0
23,0.3392857142857143,0.3855072463768116,0.36092265943012214,345.0
24,0.358974358974359,0.17073170731707318,0.23140495867768598,164.0
25,0.2597402597402597,0.12987012987012986,0.17316017316017313,154.0
26,0.14814814814814814,0.0975609756097561,0.11764705882352941,41.0
27,0.5,0.1282051282051282,0.2040816326530612,312.0
28,0.3142857142857143,0.1286549707602339,0.1825726141078838,171.0
29,0.9937566067653277,0.9967859509609013,0.9952689737312248,30180.0
30,0.2736842105263158,0.19548872180451127,0.22807017543859648,133.0
31,0.425531914893617,0.273972602739726,0.3333333333333333,73.0
32,0.5610778443113772,0.5893081761006289,0.5748466257668712,1590.0
33,0.4897959183673469,0.15789473684210525,0.23880597014925375,152.0
34,0.3275862068965517,0.25333333333333335,0.28571428571428575,75.0
35,0.4542857142857143,0.3028571428571429,0.3634285714285715,525.0
36,0.2345679012345679,0.1934826883910387,0.2120535714285714,491.0
37,0.37777777777777777,0.3541666666666667,0.3655913978494624,48.0
38,0.9992740471869328,0.9992740471869328,0.9992740471869328,44080.0
accuracy,0.9179002207320773,0.9179002207320773,0.9179002207320773,0.9179002207320773
macro avg,0.4259927339191594,0.3211558504986857,0.35341541665122994,95591.0
weighted avg,0.9077616420017501,0.9179002207320773,0.9101527272119805,95591.0
Total_training_time(s),502.28533860848984,,,
Input_size,22,,,
