,precision,recall,f1-score,support
0,0.6666666666666666,0.006172839506172839,0.012232415902140671,324.0
1,0.0,0.0,0.0,141.0
2,0.4,0.018691588785046728,0.03571428571428571,321.0
3,0.8857142857142857,0.5344827586206896,0.6666666666666667,58.0
4,0.6681041497152156,0.9313747731397459,0.7780725859945038,8816.0
5,0.37593984962406013,0.16501650165016502,0.2293577981651376,303.0
6,0.0,0.0,0.0,125.0
7,0.0,0.0,0.0,158.0
8,0.0,0.0,0.0,165.0
9,0.0,0.0,0.0,421.0
10,0.0,0.0,0.0,73.0
11,0.16261061946902655,0.15069195284469503,0.15642458100558657,1951.0
12,0.0,0.0,0.0,79.0
13,0.0,0.0,0.0,114.0
14,0.0,0.0,0.0,169.0
15,0.0,0.0,0.0,151.0
16,0.0,0.0,0.0,279.0
17,0.21409921671018275,0.07081174438687392,0.10642439974042829,1158.0
18,0.6426387068588904,0.816315205327414,0.7191395746761182,1802.0
19,0.0,0.0,0.0,27.0
20,0.0,0.0,0.0,196.0
21,0.0,0.0,0.0,66.0
22,0.0,0.0,0.0,160.0
23,0.23529411764705882,0.02318840579710145,0.04221635883905013,345.0
24,0.0,0.0,0.0,164.0
25,0.0,0.0,0.0,154.0
26,1.0,0.024390243902439025,0.047619047619047616,41.0
27,0.0,0.0,0.0,312.0
28,0.0,0.0,0.0,171.0
29,0.9970466235274598,0.995559973492379,0.9963027439277129,30180.0
30,1.0,0.022556390977443608,0.04411764705882353,133.0
31,0.0,0.0,0.0,73.0
32,0.35482395976223136,0.4880503144654088,0.41090812814402966,1590.0
33,0.0,0.0,0.0,152.0
34,0.0,0.0,0.0,75.0
35,0.14814814814814814,0.007619047619047619,0.014492753623188406,525.0
36,0.21568627450980393,0.02240325865580448,0.04059040590405904,491.0
37,0.0,0.0,0.0,48.0
38,0.950249187432286,0.9948729582577133,0.9720492075806273,44080.0
accuracy,0.8876358653011267,0.8876358653011267,0.8876358653011267,0.8876358653011267
macro avg,0.228641584763726,0.13518456301097795,0.13518791283490783,95591.0
weighted avg,0.8484457755796803,0.8876358653011267,0.8612422087279733,95591.0
Total_training_time(s),670.8235696920892,,,
Input_size,22,,,
