,precision,recall,f1-score,support
0,0.17757009345794392,0.21348314606741572,0.19387755102040816,267.0
1,1.0,0.008130081300813009,0.01612903225806452,123.0
2,0.3333333333333333,0.09090909090909091,0.14285714285714288,264.0
3,0.8823529411764706,0.5660377358490566,0.6896551724137931,53.0
4,0.20952156493047372,0.6479591836734694,0.31665182546749776,1372.0
5,0.6454545454545455,0.5259259259259259,0.5795918367346938,270.0
6,0.0,0.0,0.0,119.0
7,0.0,0.0,0.0,118.0
8,0.0,0.0,0.0,133.0
9,0.2,0.0030120481927710845,0.005934718100890208,332.0
10,0.1,0.016129032258064516,0.027777777777777776,62.0
11,0.2698191933240612,0.3518742442563482,0.30543164523747046,1654.0
12,0.5,0.045454545454545456,0.08333333333333334,66.0
13,0.0,0.0,0.0,109.0
14,1.0,0.007575757575757576,0.015037593984962407,132.0
15,0.3333333333333333,0.008130081300813009,0.015873015873015876,123.0
16,0.5,0.00966183574879227,0.01895734597156398,207.0
17,0.2049469964664311,0.061636556854410204,0.09477124183006536,941.0
18,0.7397590361445783,0.8545581071677105,0.7930255085566678,1437.0
19,0.0,0.0,0.0,18.0
20,0.0,0.0,0.0,162.0
21,0.0,0.0,0.0,53.0
22,0.0,0.0,0.0,146.0
23,0.6111111111111112,0.03900709219858156,0.07333333333333333,282.0
24,0.0,0.0,0.0,146.0
25,0.0,0.0,0.0,154.0
26,0.0,0.0,0.0,39.0
27,0.6666666666666666,0.02054794520547945,0.0398671096345515,292.0
28,0.0,0.0,0.0,130.0
29,0.20833333333333334,0.03759398496240601,0.06369426751592357,133.0
30,0.0,0.0,0.0,119.0
31,0.0,0.0,0.0,71.0
32,0.3772968558595345,0.6062992125984252,0.46513969292725904,1524.0
33,0.1111111111111111,0.00819672131147541,0.015267175572519085,122.0
34,0.0,0.0,0.0,64.0
35,0.1794871794871795,0.016867469879518072,0.030837004405286347,415.0
36,0.22941176470588234,0.08944954128440367,0.12871287128712872,436.0
37,0.5,0.0625,0.1111111111111111,48.0
38,0.986718142968143,0.9957364436058905,0.9912067809012745,40811.0
accuracy,0.8433527867490132,0.8433527867490132,0.8433527867490132,0.8433527867490132
macro avg,0.28118531289395204,0.13555578932259396,0.1337967714898906,52947.0
weighted avg,0.836721838411171,0.8433527867490132,0.8262576566005201,52947.0
Total_training_time(s),388.2512312734034,,,
Input_size,26,,,
