,precision,recall,f1-score,support
0,0.423728813559322,0.4681647940074906,0.44483985765124545,267.0
1,0.8571428571428571,0.14634146341463414,0.25,123.0
2,0.37267080745341613,0.45454545454545453,0.40955631399317405,264.0
3,0.8571428571428571,0.6792452830188679,0.7578947368421052,53.0
4,0.25990034093889325,0.7223032069970845,0.3822565091610415,1372.0
5,0.6218487394957983,0.5481481481481482,0.5826771653543307,270.0
6,0.29411764705882354,0.04201680672268908,0.07352941176470588,119.0
7,0.0,0.0,0.0,118.0
8,0.15384615384615385,0.015037593984962405,0.0273972602739726,133.0
9,0.23076923076923078,0.05421686746987952,0.0878048780487805,332.0
10,0.18181818181818182,0.12903225806451613,0.1509433962264151,62.0
11,0.37643378519290926,0.4365175332527207,0.4042553191489362,1654.0
12,0.7272727272727273,0.24242424242424243,0.36363636363636365,66.0
13,0.4375,0.06422018348623854,0.11199999999999999,109.0
14,0.10526315789473684,0.030303030303030304,0.047058823529411764,132.0
15,0.6326530612244898,0.25203252032520324,0.3604651162790698,123.0
16,0.2647058823529412,0.043478260869565216,0.07468879668049792,207.0
17,0.4074074074074074,0.19872476089266738,0.2671428571428571,941.0
18,0.8536585365853658,0.9255393180236604,0.8881469115191987,1437.0
19,0.0,0.0,0.0,18.0
20,0.2,0.1111111111111111,0.14285714285714285,162.0
21,0.17647058823529413,0.05660377358490566,0.08571428571428572,53.0
22,0.0,0.0,0.0,146.0
23,0.4166666666666667,0.2127659574468085,0.28169014084507044,282.0
24,0.2571428571428571,0.18493150684931506,0.2151394422310757,146.0
25,0.36,0.05844155844155844,0.10055865921787709,154.0
26,0.3333333333333333,0.05128205128205128,0.08888888888888889,39.0
27,0.3333333333333333,0.07191780821917808,0.11830985915492957,292.0
28,0.1864406779661017,0.08461538461538462,0.11640211640211641,130.0
29,0.36065573770491804,0.16541353383458646,0.22680412371134018,133.0
30,0.16666666666666666,0.04201680672268908,0.06711409395973156,119.0
31,0.3157894736842105,0.08450704225352113,0.13333333333333333,71.0
32,0.49716231555051077,0.5748031496062992,0.5331710286062081,1524.0
33,0.48148148148148145,0.10655737704918032,0.174496644295302,122.0
34,0.3235294117647059,0.34375,0.33333333333333337,64.0
35,0.44041450777202074,0.20481927710843373,0.27960526315789475,415.0
36,0.19331742243436753,0.18577981651376146,0.18947368421052632,436.0
37,0.5151515151515151,0.3541666666666667,0.41975308641975306,48.0
38,0.9993875551200392,0.9996079488373233,0.9994977398292315,40811.0
accuracy,0.8659602999225641,0.8659602999225641,0.8659602999225641,0.8659602999225641
macro avg,0.37473907002984963,0.23962519220753406,0.26129324572872176,52947.0
weighted avg,0.866848791597216,0.8659602999225641,0.8583726039909411,52947.0
Total_training_time(s),264.7893457081518,,,
Input_size,26,,,
