,precision,recall,f1-score,support
0,0.2039355992844365,0.35294117647058826,0.2585034013605442,323.0
1,0.36,0.06382978723404255,0.10843373493975902,141.0
2,0.23684210526315788,0.16822429906542055,0.1967213114754098,321.0
3,0.7916666666666666,0.6551724137931034,0.7169811320754716,58.0
4,0.7198007471980075,0.9177724849722128,0.8068198813500175,8817.0
5,0.6177606177606177,0.528052805280528,0.5693950177935944,303.0
6,0.0,0.0,0.0,125.0
7,0.0,0.0,0.0,157.0
8,0.0,0.0,0.0,165.0
9,0.16666666666666666,0.007125890736342043,0.013667425968109341,421.0
10,0.0,0.0,0.0,73.0
11,0.2183381088825215,0.3901689708141321,0.2799926511115194,1953.0
12,0.13333333333333333,0.02531645569620253,0.0425531914893617,79.0
13,0.0,0.0,0.0,114.0
14,0.09090909090909091,0.005917159763313609,0.01111111111111111,169.0
15,0.28,0.046357615894039736,0.07954545454545454,151.0
16,0.3333333333333333,0.0035842293906810036,0.007092198581560284,279.0
17,0.1608695652173913,0.0638481449525453,0.09141445336627549,1159.0
18,0.7333974975938402,0.8457269700332963,0.7855670103092783,1802.0
19,0.0,0.0,0.0,27.0
20,0.0,0.0,0.0,196.0
21,0.25,0.030303030303030304,0.054054054054054064,66.0
22,0.0,0.0,0.0,160.0
23,0.291044776119403,0.11271676300578035,0.1625,346.0
24,0.0,0.0,0.0,163.0
25,0.15384615384615385,0.012987012987012988,0.02395209580838324,154.0
26,0.14285714285714285,0.024390243902439025,0.04166666666666667,41.0
27,1.0,0.035256410256410256,0.06811145510835913,312.0
28,0.0,0.0,0.0,171.0
29,0.9959783295110846,0.9955812485464633,0.9957797494433922,30099.0
30,0.3333333333333333,0.022727272727272728,0.04255319148936171,132.0
31,0.0,0.0,0.0,83.0
32,0.388421573478476,0.4937106918238994,0.4347826086956522,1590.0
33,0.0,0.0,0.0,148.0
34,0.17391304347826086,0.04878048780487805,0.0761904761904762,82.0
35,0.5,0.008213552361396304,0.01616161616161616,487.0
36,0.46938775510204084,0.04693877551020408,0.08534322820037107,490.0
37,0.1111111111111111,0.04081632653061224,0.05970149253731343,49.0
38,0.9846177923849129,0.9964701889354,0.9905085355704999,44195.0
accuracy,0.8966642608340917,0.8966642608340917,0.8966642608340917,0.8966642608340917
macro avg,0.27798370111105086,0.17802385663567302,0.17997700372829778,95601.0
weighted avg,0.8791195547049313,0.8966642608340917,0.8804599224584513,95601.0
Total_training_time(s),646.895267718297,,,
Input_size,32,,,
