,precision,recall,f1-score,support
0,0.625,0.055970149253731345,0.10273972602739727,268.0
1,0.5714285714285714,0.0975609756097561,0.16666666666666669,123.0
2,0.21153846153846154,0.08333333333333333,0.11956521739130434,264.0
3,0.8222222222222222,0.6981132075471698,0.7551020408163266,53.0
4,0.2202175643406739,0.6053975200583516,0.32295719844357973,1371.0
5,0.6666666666666666,0.35555555555555557,0.46376811594202905,270.0
6,0.0,0.0,0.0,119.0
7,0.0,0.0,0.0,118.0
8,0.0,0.0,0.0,133.0
9,0.16666666666666666,0.0030120481927710845,0.005917159763313609,332.0
10,0.6666666666666666,0.03225806451612903,0.06153846153846154,62.0
11,0.2726790450928382,0.31076178960096734,0.2904775360271263,1654.0
12,0.16666666666666666,0.030303030303030304,0.05128205128205128,66.0
13,0.0,0.0,0.0,109.0
14,1.0,0.015151515151515152,0.02985074626865672,132.0
15,0.4444444444444444,0.032520325203252036,0.060606060606060615,123.0
16,0.0,0.0,0.0,207.0
17,0.2950191570881226,0.0818278427205101,0.1281198003327787,941.0
18,0.6948165404775771,0.8302018093249826,0.7564996829422954,1437.0
19,0.0,0.0,0.0,18.0
20,0.3333333333333333,0.006172839506172839,0.012121212121212121,162.0
21,0.0,0.0,0.0,53.0
22,0.0,0.0,0.0,146.0
23,0.4634146341463415,0.0673758865248227,0.11764705882352942,282.0
24,0.0,0.0,0.0,146.0
25,0.0,0.0,0.0,154.0
26,0.0,0.0,0.0,39.0
27,0.7142857142857143,0.03424657534246575,0.065359477124183,292.0
28,0.0,0.0,0.0,130.0
29,0.375,0.045112781954887216,0.08053691275167785,133.0
30,0.25,0.008403361344537815,0.016260162601626015,119.0
31,0.0,0.0,0.0,71.0
32,0.3048526347127121,0.6719160104986877,0.4194142944910916,1524.0
33,0.0,0.0,0.0,122.0
34,0.1956521739130435,0.140625,0.16363636363636366,64.0
35,0.7391304347826086,0.04096385542168675,0.0776255707762557,415.0
36,0.3783783783783784,0.06422018348623854,0.10980392156862745,436.0
37,0.0,0.0,0.0,48.0
38,0.9843062339797843,0.9972071829295182,0.9907147116449442,40819.0
accuracy,0.8427343971296384,0.8427343971296384,0.8427343971296384,0.8427343971296384
macro avg,0.2964714413033717,0.13610797034307878,0.13764641409198872,52955.0
weighted avg,0.8392152124272625,0.8427343971296384,0.8239614018695086,52955.0
Total_training_time(s),370.11168588034343,,,
Input_size,26,,,
